model,threshold,tn,fp,fn,tp,recall,f2,precision,f1,f05,fn_rate,fp_rate,business_value,positive_rate,score_type
GradientBoosting,0.16,15316,2224,1295,1165,0.4735772357723577,0.44032050797490363,0.34375922100914724,0.3983586937938109,0.3636988011988012,0.5264227642276422,0.12679589509692132,910900,0.16945,predict_proba
GradientBoosting,0.17,15639,1901,1364,1096,0.44552845528455287,0.4268910181506583,0.365699032365699,0.40168590800806303,0.37929125138427466,0.5544715447154471,0.10838084378563284,1029100,0.14985,predict_proba
GradientBoosting,0.18,15876,1664,1418,1042,0.42357723577235773,0.41527179977682127,0.385070214338507,0.40340689121176926,0.39220114423366453,0.5764227642276423,0.09486887115165336,1107400,0.1353,predict_proba
GradientBoosting,0.19,16088,1452,1466,994,0.4040650406504065,0.4045254761517174,0.4063777596075225,0.40521810028536487,0.40591310029402156,0.5959349593495935,0.08278221208665906,1178200,0.1223,predict_proba
GradientBoosting,0.2,16256,1284,1501,959,0.38983739837398373,0.39683853347678555,0.427552385198395,0.40782479268551985,0.4194366689993002,0.6101626016260162,0.07320410490307867,1241900,0.11215,predict_proba
GradientBoosting,0.21,16400,1140,1533,927,0.37682926829268293,0.3892668178382464,0.44847605224963716,0.4095427435387674,0.4320469798657718,0.6231707317073171,0.06499429874572406,1291500,0.10335,predict_proba
GradientBoosting,0.22,16526,1014,1571,889,0.3613821138211382,0.37852337562803373,0.46715712033631107,0.4075177630071052,0.44132247815726766,0.6386178861788618,0.05781071835803877,1309900,0.09515,predict_proba
GradientBoosting,0.23,16629,911,1604,856,0.34796747967479674,0.36874299991384507,0.4844368986983588,0.4050153773361722,0.44920235096557515,0.6520325203252032,0.05193842645381984,1320100,0.08835,predict_proba
GradientBoosting,0.24,16729,811,1634,826,0.3357723577235772,0.3598501350527141,0.5045815516188149,0.40322186966072737,0.45848134991119005,0.6642276422764227,0.046237172177879135,1335100,0.08185,predict_proba
GradientBoosting,0.25,16797,743,1657,803,0.32642276422764227,0.3526260319690848,0.5194049159120311,0.40089865202196706,0.4644840351689033,0.6735772357723577,0.04236031927023945,1338800,0.0773,predict_proba
GradientBoosting,0.26,16866,674,1671,789,0.3207317073170732,0.34902238343802533,0.5393028024606972,0.40224318123884784,0.47461501443695864,0.6792682926829269,0.03842645381984036,1365900,0.07315,predict_proba
GradientBoosting,0.27,16927,613,1691,769,0.3126016260162602,0.3426305471395473,0.5564399421128798,0.40031233732431026,0.4813470205307962,0.6873983739837398,0.03494868871151653,1370800,0.0691,predict_proba
GradientBoosting,0.28,16974,566,1704,756,0.3073170731707317,0.33864898763662427,0.5718608169440242,0.39978847170809095,0.48786783686112545,0.6926829268292682,0.0322690992018244,1380600,0.0661,predict_proba
GradientBoosting,0.29,17019,521,1717,743,0.3020325203252033,0.33456412103746397,0.5878164556962026,0.39903329752953814,0.4942788717402874,0.6979674796747968,0.029703534777651083,1388600,0.0632,predict_proba
GradientBoosting,0.3,17061,479,1725,735,0.29878048780487804,0.3324588384295278,0.6054365733113674,0.4001088731627654,0.5023236741388737,0.7012195121951219,0.027309007981755985,1406400,0.0607,predict_proba
GradientBoosting,0.31,17090,450,1740,720,0.2926829268292683,0.32697547683923706,0.6153846153846154,0.39669421487603307,0.5042016806722689,0.7073170731707317,0.02565564424173318,1395000,0.0585,predict_proba
GradientBoosting,0.32,17121,419,1748,712,0.2894308943089431,0.32449184212924986,0.6295313881520778,0.3965469228627123,0.5097365406643757,0.7105691056910569,0.02388825541619156,1402900,0.05655,predict_proba
GradientBoosting,0.33,17157,383,1756,704,0.2861788617886179,0.32213782373936123,0.6476540938362465,0.39695517338596,0.5170387779083431,0.7138211382113822,0.021835803876852907,1415300,0.05435,predict_proba
GradientBoosting,0.34,17187,353,1765,695,0.28252032520325204,0.31915870683321085,0.6631679389312977,0.3962371721778791,0.5223992784125076,0.717479674796748,0.020125427594070697,1419800,0.0524,predict_proba
GradientBoosting,0.35,17204,336,1776,684,0.2780487804878049,0.3149171270718232,0.6705882352941176,0.3931034482758621,0.5229357798165137,0.7219512195121951,0.019156214367160775,1407600,0.051,predict_proba
GradientBoosting,0.36,17224,316,1780,680,0.2764227642276423,0.3137689184200812,0.6827309236947792,0.39351851851851855,0.5276225946617008,0.7235772357723578,0.018015963511972634,1415600,0.0498,predict_proba
GradientBoosting,0.37,17243,297,1786,674,0.2739837398373984,0.3117195449079641,0.694129763130793,0.39288837073739435,0.5312105926860026,0.7260162601626017,0.016932725199543898,1417700,0.04855,predict_proba
GradientBoosting,0.38,17262,278,1791,669,0.27195121951219514,0.3100954853063873,0.706441393875396,0.3927208687995304,0.535371318822023,0.7280487804878049,0.015849486887115165,1422300,0.04735,predict_proba
GradientBoosting,0.39,17278,262,1798,662,0.26910569105691057,0.30750650315867706,0.7164502164502164,0.3912529550827423,0.5376868096166342,0.7308943089430894,0.014937286202964653,1419200,0.0462,predict_proba
GradientBoosting,0.4,17295,245,1804,656,0.26666666666666666,0.3053719392980169,0.7280799112097669,0.3903600119012199,0.5408970976253298,0.7333333333333333,0.013968072976054732,1419500,0.04505,predict_proba
GradientBoosting,0.41,17311,229,1814,646,0.26260162601626014,0.3014465702286514,0.7382857142857143,0.38740629685157424,0.5419463087248322,0.7373983739837399,0.01305587229190422,1408900,0.04375,predict_proba
GradientBoosting,0.42,17322,218,1817,643,0.2613821138211382,0.30043921128866463,0.7468060394889663,0.3872327612165011,0.5445460704607046,0.7386178861788618,0.012428734321550741,1411300,0.04305,predict_proba
GradientBoosting,0.43,17337,203,1819,641,0.2605691056910569,0.2999812804193186,0.759478672985782,0.3880145278450363,0.5491775188485264,0.739430894308943,0.011573546180159634,1419800,0.0422,predict_proba
GradientBoosting,0.44,17348,192,1825,635,0.258130081300813,0.29764694853285834,0.7678355501813785,0.38637055065409187,0.5504507628294036,0.741869918699187,0.010946408209806158,1414700,0.04135,predict_proba
GradientBoosting,0.45,17358,182,1828,632,0.25691056910569104,0.2966022151304674,0.7764127764127764,0.3860720830788027,0.5528341497550735,0.7430894308943089,0.010376282782212087,1416200,0.0407,predict_proba
GradientBoosting,0.46,17373,167,1833,627,0.2548780487804878,0.2948091028775625,0.7896725440806045,0.38537185003073143,0.5562455642299503,0.7451219512195122,0.00952109464082098,1417200,0.0397,predict_proba
