threshold,tn,fp,fn,tp,tn_value,fp_value,fn_value,tp_value,business_value,avg_value_per_vehicle,recall,f2,precision,f1,f05,positive_rate,fn_rate,fp_rate,predicted_bad_buy,predicted_good_buy,roc_auc,average_precision
0.61,11450,1352,959,836,0,-1216800,0,2090000,873200,59.820511063917245,0.46573816155988856,0.446199829205807,0.3820840950639854,0.41978408234998743,0.39632122878543663,0.1498938137973556,0.5342618384401114,0.10560849867208248,2188,12409,0.7677792771759635,0.4431968904841776
0.91,12695,107,1414,381,0,-96300,0,952500,856200,58.6558881962047,0.21225626740947076,0.24843505477308295,0.7807377049180327,0.33377135348226017,0.5084067253803043,0.033431527026101256,0.7877437325905292,0.00835806905171067,488,14109,0.7677792771759635,0.4431968904841776
0.6,11338,1464,942,853,0,-1317600,0,2132500,814900,55.826539699938344,0.47520891364902507,0.4490891860587554,0.368148467846353,0.4148832684824903,0.38551929856277684,0.15873124614646844,0.5247910863509749,0.11435713169817216,2317,12280,0.7677792771759635,0.4431968904841776
0.92,12701,101,1442,353,0,-90900,0,882500,791600,54.23032129889703,0.1966573816155989,0.23120251506418654,0.7775330396475771,0.3139172965762561,0.4887842702852395,0.031102281290676166,0.8033426183844011,0.007889392282455866,454,14143,0.7677792771759635,0.4431968904841776
0.59,11231,1571,917,878,0,-1413900,0,2195000,781100,53.51099541001576,0.4891364902506964,0.4559144251739537,0.35851367905267456,0.413760603204524,0.3787421275127254,0.16777420017811878,0.5108635097493036,0.12271520074988283,2449,12148,0.7677792771759635,0.4431968904841776
0.93,12715,87,1471,324,0,-78300,0,810000,731700,50.12673837089813,0.18050139275766017,0.21341061783691212,0.7883211678832117,0.2937443336355394,0.4710671706891538,0.028156470507638556,0.8194986072423398,0.006795813154194657,411,14186,0.7677792771759635,0.4431968904841776
0.58,11113,1689,896,899,0,-1520100,0,2247500,727400,49.83215729259437,0.5008356545961002,0.46017608517608516,0.3473724884080371,0.4102213096052932,0.37005021816086275,0.17729670480235665,0.4991643454038997,0.1319325105452273,2588,12009,0.7677792771759635,0.4431968904841776
0.94,12728,74,1501,294,0,-66600,0,735000,668400,45.79023086935672,0.1637883008356546,0.19475357710651828,0.7989130434782609,0.27184466019417475,0.44995408631772266,0.025210659724600945,0.8362116991643455,0.005780346820809248,368,14229,0.7677792771759635,0.4431968904841776
0.57,10966,1836,873,922,0,-1652400,0,2305000,652600,44.70781667465918,0.5136490250696378,0.46387603139464684,0.3343002175489485,0.40500768723918296,0.3593981445388633,0.18894293347948207,0.4863509749303621,0.14341509139197,2758,11839,0.7677792771759635,0.4431968904841776
0.56,10804,1998,845,950,0,-1798200,0,2375000,576800,39.51496882921148,0.5292479108635098,0.4689968404423381,0.32225237449118044,0.4005903436643475,0.3495988812835799,0.20195930670685758,0.47075208913649025,0.15606936416184972,2948,11649,0.7677792771759635,0.4431968904841776
0.95,12752,50,1554,241,0,-45000,0,602500,557500,38.192779338220184,0.13426183844011141,0.16129032258064516,0.8281786941580757,0.23106423777564716,0.40723217303142956,0.01993560320613825,0.8657381615598886,0.003905639743790033,291,14306,0.7677792771759635,0.4431968904841776
0.55,10657,2145,821,974,0,-1930500,0,2435000,504500,34.561896280057546,0.5426183844011142,0.47286144285852993,0.31227957678743185,0.39641839641839643,0.3412514890337047,0.2136740426114955,0.4573816155988858,0.1675519450085924,3119,11478,0.7677792771759635,0.4431968904841776
0.54,10499,2303,795,1000,0,-2072700,0,2500000,427300,29.273138316092346,0.5571030640668524,0.4769627015167414,0.3027550711474417,0.39231071008238527,0.33317785033650965,0.22627937247379598,0.4428969359331476,0.1798937665989689,3303,11294,0.7677792771759635,0.4431968904841776
0.53,10321,2481,765,1030,0,-2232900,0,2575000,342100,23.43632253202713,0.5738161559888579,0.48171359087082594,0.29336371404158357,0.38823972860912176,0.3251467895700486,0.2405288757963965,0.42618384401114207,0.19379784408686143,3511,11086,0.7677792771759635,0.4431968904841776
0.52,10135,2667,742,1053,0,-2400300,0,2632500,232200,15.907378228403097,0.5866295264623955,0.48302752293577983,0.2830645161290323,0.38186763372620125,0.3157421289355322,0.25484688634650954,0.4133704735376045,0.20832682393376034,3720,10877,0.7677792771759635,0.4431968904841776
0.51,9937,2865,715,1080,0,-2578500,0,2700000,121500,8.323628142769062,0.6016713091922006,0.4853932584269663,0.2737642585551331,0.37630662020905925,0.30725462304409673,0.2702610125368226,0.3983286908077994,0.22379315731916888,3945,10652,0.7677792771759635,0.4431968904841776
